Country Name,count,points,price,countrycode
US,62139,87.81720014805516,33.65380839730282,840
Spain,8160,86.63872549019608,27.048529411764704,724
France,14785,88.60331416976666,45.61988501859993,250
Italy,18784,88.44500638841568,37.54791311754685,380
New Zealand,3070,87.542671009772,24.173289902280132,554
Bulgaria,77,85.46753246753246,11.545454545454545,100
Argentina,5587,86.00107392160372,20.794880973688922,32
Australia,4894,87.88148753575807,31.258479771148345,36
Portugal,4176,88.17672413793103,26.332614942528735,620
Israel,610,87.15573770491804,31.304918032786887,376
South Africa,2237,87.21144389807779,21.13053196244971,710
Greece,872,86.10321100917432,21.74770642201835,300
Chile,5766,86.29812695109261,19.344779743322928,152
Morocco,12,88.16666666666667,18.833333333333332,504
Romania,139,84.92086330935251,16.39568345323741,642
Germany,2347,88.6105666808692,39.011077971879,276
Canada,194,88.22164948453609,34.628865979381445,124
Moldova,71,84.71830985915493,15.366197183098592,498
Hungary,230,87.30434782608695,44.20434782608696,348
Austria,2483,89.19089810712848,31.192106322996377,40
Croatia,83,86.49397590361446,23.10843373493976,191
Slovenia,81,88.17283950617283,28.061728395061728,705
India,8,87.625,13.875,356
Turkey,50,88.14,25.8,792
Macedonia,16,84.8125,15.3125,807
Lebanon,37,85.70270270270271,25.43243243243243,422
Serbia,14,87.71428571428571,24.285714285714285,688
Uruguay,85,84.54117647058824,25.847058823529412,858
Switzerland,4,87.25,26.5,756
Albania,2,88.0,20.0,8
Bosnia and Herzegovina,4,84.75,12.75,70
Brazil,25,83.24,19.92,76
Cyprus,31,85.87096774193549,15.483870967741936,196
Lithuania,8,84.25,10.0,440
Japan,2,85.0,24.0,392
China,3,82.0,20.333333333333332,156
South Korea,4,81.5,13.5,410
Ukraine,5,84.6,13.0,804
England,8,92.75,47.5,826
Mexico,63,84.76190476190476,29.095238095238095,484
Georgia,43,85.51162790697674,18.58139534883721,268
Montenegro,2,82.0,10.0,499
Luxembourg,9,87.0,40.666666666666664,442
Slovakia,3,83.66666666666667,15.333333333333334,703
Czech Republic,6,85.83333333333333,18.0,203
